County,Date,Deaths,Case,Vehicles
NEW YORK (61),2016-06-06,1,360322,1
RICHMOND (85),2016-05-14,1,360329,2
KINGS (47),2016-06-07,1,360331,1
NEW YORK (61),2016-06-07,1,360337,2
BRONX (5),2016-06-10,1,360339,3
KINGS (47),2016-06-10,1,360342,2
NEW YORK (61),2016-06-11,1,360344,1
NEW YORK (61),2016-06-11,1,360345,1
BRONX (5),2016-06-11,1,360347,2
BRONX (5),2016-06-12,1,360348,1
QUEENS (81),2016-06-13,1,360350,2
QUEENS (81),2016-06-13,2,360352,1
NEW YORK (61),2016-06-16,1,360356,1
QUEENS (81),2016-06-17,1,360357,1
QUEENS (81),2016-06-16,1,360359,2
KINGS (47),2016-06-19,1,360361,1
NEW YORK (61),2016-06-18,1,360362,1
QUEENS (81),2016-02-15,1,360364,1
BRONX (5),2016-06-19,1,360365,5
QUEENS (81),2016-06-20,1,360370,2
RICHMOND (85),2016-06-19,3,360371,9
NEW YORK (61),2016-06-24,1,360372,1
RICHMOND (85),2016-06-25,1,360379,1
NEW YORK (61),2016-06-28,1,360384,1
QUEENS (81),2016-06-30,1,360388,3
QUEENS (81),2016-06-29,1,360389,2
NEW YORK (61),2016-07-01,1,360390,1
BRONX (5),2016-07-03,1,360394,4
KINGS (47),2016-07-02,1,360395,1
KINGS (47),2016-07-03,1,360397,2
QUEENS (81),2016-07-07,1,360420,1
QUEENS (81),2016-07-07,1,360423,4
QUEENS (81),2016-07-08,1,360425,1
BRONX (5),2016-07-12,1,360431,2
BRONX (5),2016-07-11,1,360432,1
BRONX (5),2016-07-01,1,360439,1
KINGS (47),2016-07-16,1,360444,1
QUEENS (81),2016-07-17,1,360446,5
KINGS (47),2016-07-17,1,360449,3
QUEENS (81),2016-07-23,1,360454,1
BRONX (5),2016-07-01,1,360467,1
KINGS (47),2016-07-02,1,360470,1
QUEENS (81),2016-07-27,1,360471,1
NEW YORK (61),2016-07-31,1,360476,1
KINGS (47),2016-08-01,2,360478,3
NEW YORK (61),2016-08-01,1,360480,2
BRONX (5),2016-08-06,1,360494,1
KINGS (47),2016-08-07,1,360496,2
BRONX (5),2016-08-09,1,360499,1
QUEENS (81),2016-08-09,1,360503,2
QUEENS (81),2016-08-14,1,360511,2
KINGS (47),2016-08-12,1,360512,1
QUEENS (81),2016-08-14,1,360513,1
RICHMOND (85),2016-08-17,1,360514,1
KINGS (47),2016-05-26,1,360517,1
QUEENS (81),2016-08-16,1,360518,1
BRONX (5),2016-08-21,1,360527,3
QUEENS (81),2016-08-24,1,360529,1
NEW YORK (61),2016-08-29,1,360537,1
KINGS (47),2016-08-29,1,360539,3
RICHMOND (85),2016-04-15,1,360550,1
KINGS (47),2016-08-18,1,360553,1
RICHMOND (85),2016-08-23,1,360557,1
KINGS (47),2016-08-27,1,360561,1
BRONX (5),2016-08-30,1,360567,1
QUEENS (81),2016-08-31,3,360569,2
BRONX (5),2016-08-30,1,360572,1
QUEENS (81),2016-09-02,1,360575,2
NEW YORK (61),2016-08-22,1,360579,1
BRONX (5),2016-09-04,1,360588,2
QUEENS (81),2016-09-05,1,360592,1
KINGS (47),2016-09-06,1,360594,1
NEW YORK (61),2016-08-23,1,360603,1
QUEENS (81),2016-09-11,1,360604,4
NEW YORK (61),2016-09-13,1,360608,1
QUEENS (81),2016-08-13,1,360626,1
NEW YORK (61),2016-09-17,1,360627,1
KINGS (47),2016-09-23,1,360640,2
QUEENS (81),2016-09-27,1,360645,1
RICHMOND (85),2016-09-30,1,360649,1
QUEENS (81),2016-09-19,1,360650,1
KINGS (47),2016-09-29,1,360651,1
QUEENS (81),2016-09-29,1,360657,1
NEW YORK (61),2016-10-04,1,360661,1
QUEENS (81),2016-10-05,1,360662,1
NEW YORK (61),2016-10-05,1,360667,4
NEW YORK (61),2016-09-28,1,360683,1
NEW YORK (61),2016-10-07,1,360686,1
